id;depart;arrivee;demand_business;demand_family;list_itineraires
1;1;5;10;50;[1, 2877, 2878]
2;1;6;4;35;[2, 2833, 2834]
3;1;7;8;60;[3, 2855, 2856]
4;1;8;4;50;[4, 2897, 2898]
5;2;5;2;55;[5, 3025, 3026]
6;2;6;8;60;[6, 3089, 3090]
7;2;7;10;50;[7, 3045, 3046]
8;2;8;4;40;[8, 3067, 3068]
9;3;5;4;40;[9, 3275, 3276]
10;3;6;4;55;[10, 3295, 3296]
11;3;7;6;35;[11, 3253, 3254]
12;3;8;10;40;[12, 3231, 3232]
13;4;5;6;40;[13, 3485, 3486]
14;4;6;8;60;[14, 3463, 3464]
15;4;7;4;40;[15, 3505, 3506]
16;4;8;2;45;[16, 3441, 3442]
17;5;9;8;50;[17, 3647, 3648]
18;5;10;2;50;[18, 3625, 3626]
19;5;11;2;50;[19, 3693, 3694]
20;5;12;8;45;[20]
21;5;13;8;40;[21, 3667, 3668]
22;5;14;10;60;[22]
23;5;15;8;45;[23]
24;5;16;8;45;[24]
25;6;9;2;60;[25, 3837, 3838]
26;6;10;10;60;[26]
27;6;11;2;40;[27, 3877, 3878]
28;6;12;6;30;[28]
29;6;13;6;30;[29]
30;6;14;2;55;[30, 3857, 3858]
31;6;15;10;40;[31, 3895, 3896]
32;6;16;4;55;[32, 3815, 3816]
33;7;9;2;55;[33, 4021, 4022]
34;7;10;2;45;[34, 4059, 4060]
35;7;11;4;35;[35, 4041, 4042]
36;7;12;10;55;[36, 4099, 4100]
37;7;13;4;55;[37]
38;7;14;2;50;[38]
39;7;15;4;55;[39, 4081, 4082]
40;7;16;10;50;[40, 4115, 4116]
41;8;9;8;40;[41, 4237, 4238]
42;8;10;10;30;[42, 4277, 4278]
43;8;11;6;35;[43, 4315, 4316]
44;8;12;6;30;[44, 4299, 4300]
45;8;13;10;50;[45]
46;8;14;4;45;[46, 4257, 4258]
47;8;15;8;30;[47, 4219, 4220]
48;8;16;6;50;[48]
49;9;17;6;40;[49]
50;9;18;10;60;[50, 4437, 4438]
51;9;19;6;45;[51, 4463, 4464]
52;9;20;8;30;[52, 4485, 4486]
53;9;21;2;30;[53, 4505, 4506]
54;9;22;10;55;[54]
55;9;23;4;45;[55, 4419, 4420]
56;10;17;10;35;[56, 4635, 4636]
57;10;18;4;50;[57, 4609, 4610]
58;10;19;2;50;[58]
59;10;20;10;45;[59, 4675, 4676]
60;10;21;4;40;[60, 4695, 4696]
61;10;22;10;55;[61, 4717, 4718]
62;10;23;10;55;[62, 4657, 4658]
63;11;17;2;40;[63, 4885, 4886]
64;11;18;8;45;[64]
65;11;19;8;60;[65, 4823, 4824]
66;11;20;10;60;[66, 4907, 4908]
67;11;21;10;40;[67, 4863, 4864]
68;11;22;4;60;[68]
69;11;23;2;35;[69, 4845, 4846]
70;12;17;4;60;[70, 5013, 5014]
71;12;18;6;60;[71, 4987, 4988]
72;12;19;10;35;[72]
73;12;20;6;35;[73]
74;12;21;10;55;[74, 5057, 5058]
75;12;22;2;55;[75, 5035, 5036]
76;12;23;6;30;[76]
77;13;17;6;35;[77]
78;13;18;10;55;[78, 5201, 5202]
79;13;19;8;50;[79, 5227, 5228]
80;13;20;4;60;[80, 5181, 5182]
81;13;21;4;45;[81, 5249, 5250]
82;13;22;4;45;[82, 5141, 5142]
83;13;23;2;45;[83, 5163, 5164]
84;14;17;10;55;[84, 5483, 5484]
85;14;18;10;35;[85, 5393, 5394]
