id;depart;arrivee;capacite du vol;list_itineraires
1;1;6;80;[2833, 2834]
2;1;7;70;[2855, 2856]
3;1;5;70;[2877, 2878]
4;1;8;60;[2897, 2898]
5;1;14;80;[2919, 2920]
6;1;9;100;[2939, 2940]
7;1;13;100;[2959, 2960]
8;1;16;90;[2985, 2986]
9;1;15;90;[3007, 3008]
10;2;5;80;[3025, 3026]
11;2;7;90;[3045, 3046]
12;2;8;100;[3067, 3068]
13;2;6;60;[3089, 3090]
14;2;13;90;[3111, 3112]
15;2;9;70;[3137, 3138]
16;2;16;90;[3157, 3158]
17;2;12;50;[3179, 3180]
18;2;15;60;[3195, 3196]
19;2;11;90;[3213, 3214]
20;3;8;80;[3231, 3232]
21;3;7;60;[3253, 3254]
22;3;5;70;[3275, 3276]
23;3;6;80;[3295, 3296]
24;3;12;80;[3317, 3318]
25;3;16;90;[3333, 3334]
26;3;13;100;[3355, 3356]
27;3;11;60;[3381, 3382]
28;3;10;80;[3399, 3400]
29;3;14;50;[3421, 3422]
30;4;8;50;[3441, 3442]
31;4;6;50;[3463, 3464]
32;4;5;50;[3485, 3486]
33;4;7;90;[3505, 3506]
34;4;9;70;[3527, 3528]
35;4;14;50;[3547, 3548]
36;4;16;90;[3567, 3568]
37;4;11;80;[3589, 3590]
38;4;15;90;[3607, 3608]
39;5;10;70;[2879, 2880, 3027, 3028, 3277, 3278, 3487, 3488, 3625, 3626]
40;5;9;60;[2881, 2882, 3029, 3030, 3279, 3280, 3489, 3490, 3647, 3648]
41;5;13;70;[2883, 2884, 3031, 3032, 3281, 3282, 3491, 3492, 3667, 3668]
42;5;11;100;[2885, 2886, 3033, 3034, 3283, 3284, 3493, 3494, 3693, 3694]
43;5;21;100;[2887, 2888, 3035, 3036, 3285, 3286, 3495, 3496, 3711, 3712]
44;5;22;70;[2889, 2890, 3037, 3038, 3287, 3288, 3497, 3498, 3733, 3734]
45;5;20;60;[2891, 2892, 3039, 3040, 3289, 3290, 3499, 3500, 3755, 3756]
46;5;23;100;[2893, 2894, 3041, 3042, 3291, 3292, 3501, 3502, 3775, 3776]
47;5;17;90;[2895, 2896, 3043, 3044, 3293, 3294, 3503, 3504, 3793, 3794]
48;6;16;70;[2835, 2836, 3091, 3092, 3297, 3298, 3465, 3466, 3815, 3816]
49;6;9;80;[2837, 2838, 3093, 3094, 3299, 3300, 3467, 3468, 3837, 3838]
50;6;14;90;[2839, 2840, 3095, 3096, 3301, 3302, 3469, 3470, 3857, 3858]
51;6;11;100;[2841, 2842, 3097, 3098, 3303, 3304, 3471, 3472, 3877, 3878]
52;6;15;90;[2843, 2844, 3099, 3100, 3305, 3306, 3473, 3474, 3895, 3896]
53;6;17;60;[2845, 2846, 3101, 3102, 3307, 3308, 3475, 3476, 3913, 3914]
54;6;22;70;[2847, 2848, 3103, 3104, 3309, 3310, 3477, 3478, 3935, 3936]
55;6;20;80;[2849, 2850, 3105, 3106, 3311, 3312, 3479, 3480, 3957, 3958]
56;6;21;50;[2851, 2852, 3107, 3108, 3313, 3314, 3481, 3482, 3977, 3978]
57;6;19;50;[2853, 2854, 3109, 3110, 3315, 3316, 3483, 3484, 3999, 4000]
58;7;9;90;[2857, 2858, 3047, 3048, 3255, 3256, 3507, 3508, 4021, 4022]
59;7;11;100;[2859, 2860, 3049, 3050, 3257, 3258, 3509, 3510, 4041, 4042]
60;7;10;90;[2861, 2862, 3051, 3052, 3259, 3260, 3511, 3512, 4059, 4060]
61;7;15;50;[2863, 2864, 3053, 3054, 3261, 3262, 3513, 3514, 4081, 4082]
62;7;12;50;[2865, 2866, 3055, 3056, 3263, 3264, 3515, 3516, 4099, 4100]
63;7;16;100;[2867, 2868, 3057, 3058, 3265, 3266, 3517, 3518, 4115, 4116]
64;7;17;100;[2869, 2870, 3059, 3060, 3267, 3268, 3519, 3520, 4137, 4138]
65;7;20;90;[2871, 2872, 3061, 3062, 3269, 3270, 3521, 3522, 4159, 4160]
66;7;22;100;[2873, 2874, 3063, 3064, 3271, 3272, 3523, 3524, 4179, 4180]
67;7;23;100;[2875, 2876, 3065, 3066, 3273, 3274, 3525, 3526, 4201, 4202]
68;8;15;60;[2899, 2900, 3069, 3070, 3233, 3234, 3443, 3444, 4219, 4220]
69;8;9;70;[2901, 2902, 3071, 3072, 3235, 3236, 3445, 3446, 4237, 4238]
70;8;14;70;[2903, 2904, 3073, 3074, 3237, 3238, 3447, 3448, 4257, 4258]
71;8;10;100;[2905, 2906, 3075, 3076, 3239, 3240, 3449, 3450, 4277, 4278]
72;8;12;80;[2907, 2908, 3077, 3078, 3241, 3242, 3451, 3452, 4299, 4300]
73;8;11;50;[2909, 2910, 3079, 3080, 3243, 3244, 3453, 3454, 4315, 4316]
74;8;18;60;[2911, 2912, 3081, 3082, 3245, 3246, 3455, 3456, 4333, 4334]
75;8;22;100;[2913, 2914, 3083, 3084, 3247, 3248, 3457, 3458, 4359, 4360]
76;8;20;50;[2915, 2916, 3085, 3086, 3249, 3250, 3459, 3460, 4381, 4382]
77;8;23;70;[2917, 2918, 3087, 3088, 3251, 3252, 3461, 3462, 4401, 4402]
78;9;23;100;[2941, 2942, 3139, 3140, 3529, 3530, 3649, 3650, 3839, 3840, 4023, 4024, 4239, 4240, 4419, 4420]
79;9;18;60;[2943, 2944, 3141, 3142, 3531, 3532, 3651, 3652, 3841, 3842, 4025, 4026, 4241, 4242, 4437, 4438]
80;9;19;60;[2945, 2946, 3143, 3144, 3533, 3534, 3653, 3654, 3843, 3844, 4027, 4028, 4243, 4244, 4463, 4464]
81;9;20;70;[2947, 2948, 3145, 3146, 3535, 3536, 3655, 3656, 3845, 3846, 4029, 4030, 4245, 4246, 4485, 4486]
82;9;21;60;[2949, 2950, 3147, 3148, 3537, 3538, 3657, 3658, 3847, 3848, 4031, 4032, 4247, 4248, 4505, 4506]
83;9;26;60;[2951, 2952, 3149, 3150, 3539, 3540, 3659, 3660, 3849, 3850, 4033, 4034, 4249, 4250, 4527, 4528]
84;9;29;60;[2953, 2954, 3151, 3152, 3541, 3542, 3661, 3662, 3851, 3852, 4035, 4036, 4251, 4252, 4549, 4550]
85;9;28;90;[2955, 2956, 3153, 3154, 3543, 3544, 3663, 3664, 3853, 3854, 4037, 4038, 4253, 4254, 4569, 4570]
86;9;25;100;[2957, 2958, 3155, 3156, 3545, 3546, 3665, 3666, 3855, 3856, 4039, 4040, 4255, 4256, 4591, 4592]
87;10;18;80;[3401, 3402, 3627, 3628, 4061, 4062, 4279, 4280, 4609, 4610]
88;10;17;50;[3403, 3404, 3629, 3630, 4063, 4064, 4281, 4282, 4635, 4636]
89;10;23;90;[3405, 3406, 3631, 3632, 4065, 4066, 4283, 4284, 4657, 4658]
90;10;20;70;[3407, 3408, 3633, 3634, 4067, 4068, 4285, 4286, 4675, 4676]
91;10;21;100;[3409, 3410, 3635, 3636, 4069, 4070, 4287, 4288, 4695, 4696]
92;10;22;60;[3411, 3412, 3637, 3638, 4071, 4072, 4289, 4290, 4717, 4718]
93;10;27;70;[3413, 3414, 3639, 3640, 4073, 4074, 4291, 4292, 4739, 4740]
94;10;26;80;[3415, 3416, 3641, 3642, 4075, 4076, 4293, 4294, 4761, 4762]
95;10;28;80;[3417, 3418, 3643, 3644, 4077, 4078, 4295, 4296, 4783, 4784]
96;10;24;100;[3419, 3420, 3645, 3646, 4079, 4080, 4297, 4298, 4805, 4806]
97;11;19;70;[3215, 3216, 3383, 3384, 3591, 3592, 3695, 3696, 3879, 3880, 4043, 4044, 4317, 4318, 4823, 4824]
98;11;23;80;[3217, 3218, 3385, 3386, 3593, 3594, 3697, 3698, 3881, 3882, 4045, 4046, 4319, 4320, 4845, 4846]
99;11;21;50;[3219, 3220, 3387, 3388, 3595, 3596, 3699, 3700, 3883, 3884, 4047, 4048, 4321, 4322, 4863, 4864]
100;11;17;70;[3221, 3222, 3389, 3390, 3597, 3598, 3701, 3702, 3885, 3886, 4049, 4050, 4323, 4324, 4885, 4886]
101;11;20;100;[3223, 3224, 3391, 3392, 3599, 3600, 3703, 3704, 3887, 3888, 4051, 4052, 4325, 4326, 4907, 4908]
102;11;24;80;[3225, 3226, 3393, 3394, 3601, 3602, 3705, 3706, 3889, 3890, 4053, 4054, 4327, 4328, 4927, 4928]
103;11;28;90;[3227, 3228, 3395, 3396, 3603, 3604, 3707, 3708, 3891, 3892, 4055, 4056, 4329, 4330, 4945, 4946]
104;11;29;50;[3229, 3230, 3397, 3398, 3605, 3606, 3709, 3710, 3893, 3894, 4057, 4058, 4331, 4332, 4967, 4968]
105;12;18;60;[3181, 3182, 3319, 3320, 4101, 4102, 4301, 4302, 4987, 4988]
106;12;17;60;[3183, 3184, 3321, 3322, 4103, 4104, 4303, 4304, 5013, 5014]
107;12;22;60;[3185, 3186, 3323, 3324, 4105, 4106, 4305, 4306, 5035, 5036]
108;12;21;60;[3187, 3188, 3325, 3326, 4107, 4108, 4307, 4308, 5057, 5058]
109;12;24;60;[3189, 3190, 3327, 3328, 4109, 4110, 4309, 4310, 5079, 5080]
110;12;28;60;[3191, 3192, 3329, 3330, 4111, 4112, 4311, 4312, 5097, 5098]
111;12;27;70;[3193, 3194, 3331, 3332, 4113, 4114, 4313, 4314, 5119, 5120]
112;13;22;80;[2961, 2962, 3113, 3114, 3357, 3358, 3669, 3670, 5141, 5142]
113;13;23;60;[2963, 2964, 3115, 3116, 3359, 3360, 3671, 3672, 5163, 5164]
114;13;20;60;[2965, 2966, 3117, 3118, 3361, 3362, 3673, 3674, 5181, 5182]
115;13;18;100;[2967, 2968, 3119, 3120, 3363, 3364, 3675, 3676, 5201, 5202]
116;13;19;50;[2969, 2970, 3121, 3122, 3365, 3366, 3677, 3678, 5227, 5228]
117;13;21;80;[2971, 2972, 3123, 3124, 3367, 3368, 3679, 3680, 5249, 5250]
118;13;27;60;[2973, 2974, 3125, 3126, 3369, 3370, 3681, 3682, 5271, 5272]
119;13;29;100;[2975, 2976, 3127, 3128, 3371, 3372, 3683, 3684, 5293, 5294]
120;13;25;70;[2977, 2978, 3129, 3130, 3373, 3374, 3685, 3686, 5313, 5314]
121;13;24;80;[2979, 2980, 3131, 3132, 3375, 3376, 3687, 3688, 5331, 5332]
122;13;26;90;[2981, 2982, 3133, 3134, 3377, 3378, 3689, 3690, 5349, 5350]
123;13;28;50;[2983, 2984, 3135, 3136, 3379, 3380, 3691, 3692, 5371, 5372]
124;14;18;100;[2921, 2922, 3423, 3424, 3549, 3550, 3859, 3860, 4259, 4260, 5393, 5394]
125;14;20;80;[2923, 2924, 3425, 3426, 3551, 3552, 3861, 3862, 4261, 4262, 5419, 5420]
126;14;21;100;[2925, 2926, 3427, 3428, 3553, 3554, 3863, 3864, 4263, 4264, 5439, 5440]
127;14;22;70;[2927, 2928, 3429, 3430, 3555, 3556, 3865, 3866, 4265, 4266, 5461, 5462]
128;14;17;50;[2929, 2930, 3431, 3432, 3557, 3558, 3867, 3868, 4267, 4268, 5483, 5484]
129;14;23;50;[2931, 2932, 3433, 3434, 3559, 3560, 3869, 3870, 4269, 4270, 5505, 5506]
130;14;25;100;[2933, 2934, 3435, 3436, 3561, 3562, 3871, 3872, 4271, 4272, 5523, 5524]
131;14;28;90;[2935, 2936, 3437, 3438, 3563, 3564, 3873, 3874, 4273, 4274, 5541, 5542]
132;14;26;70;[2937, 2938, 3439, 3440, 3565, 3566, 3875, 3876, 4275, 4276, 5563, 5564]
133;15;18;60;[3009, 3010, 3197, 3198, 3609, 3610, 3897, 3898, 4083, 4084, 4221, 4222, 5585, 5586]
134;15;20;60;[3011, 3012, 3199, 3200, 3611, 3612, 3899, 3900, 4085, 4086, 4223, 4224, 5611, 5612]
135;15;17;100;[3013, 3014, 3201, 3202, 3613, 3614, 3901, 3902, 4087, 4088, 4225, 4226, 5631, 5632]
136;15;19;100;[3015, 3016, 3203, 3204, 3615, 3616, 3903, 3904, 4089, 4090, 4227, 4228, 5653, 5654]
137;15;21;70;[3017, 3018, 3205, 3206, 3617, 3618, 3905, 3906, 4091, 4092, 4229, 4230, 5675, 5676]
138;15;25;50;[3019, 3020, 3207, 3208, 3619, 3620, 3907, 3908, 4093, 4094, 4231, 4232, 5697, 5698]
139;15;26;80;[3021, 3022, 3209, 3210, 3621, 3622, 3909, 3910, 4095, 4096, 4233, 4234, 5715, 5716]
140;15;28;50;[3023, 3024, 3211, 3212, 3623, 3624, 3911, 3912, 4097, 4098, 4235, 4236, 5737, 5738]
141;16;19;70;[2987, 2988, 3159, 3160, 3335, 3336, 3569, 3570, 3817, 3818, 4117, 4118, 5759, 5760]
142;16;20;50;[2989, 2990, 3161, 3162, 3337, 3338, 3571, 3572, 3819, 3820, 4119, 4120, 5781, 5782]
143;16;18;90;[2991, 2992, 3163, 3164, 3339, 3340, 3573, 3574, 3821, 3822, 4121, 4122, 5801, 5802]
144;16;21;90;[2993, 2994, 3165, 3166, 3341, 3342, 3575, 3576, 3823, 3824, 4123, 4124, 5827, 5828]
145;16;22;100;[2995, 2996, 3167, 3168, 3343, 3344, 3577, 3578, 3825, 3826, 4125, 4126, 5849, 5850]
146;16;23;70;[2997, 2998, 3169, 3170, 3345, 3346, 3579, 3580, 3827, 3828, 4127, 4128, 5871, 5872]
147;16;24;50;[2999, 3000, 3171, 3172, 3347, 3348, 3581, 3582, 3829, 3830, 4129, 4130, 5889, 5890]
148;16;28;50;[3001, 3002, 3173, 3174, 3349, 3350, 3583, 3584, 3831, 3832, 4131, 4132, 5907, 5908]
149;16;26;90;[3003, 3004, 3175, 3176, 3351, 3352, 3585, 3586, 3833, 3834, 4133, 4134, 5929, 5930]
150;16;27;50;[3005, 3006, 3177, 3178, 3353, 3354, 3587, 3588, 3835, 3836, 4135, 4136, 5951, 5952]
151;17;29;80;[3795, 3796, 3915, 3916, 4139, 4140, 4637, 4638, 4887, 4888, 5015, 5016, 5485, 5486, 5633, 5634, 5973, 5974]
152;17;26;50;[3797, 3798, 3917, 3918, 4141, 4142, 4639, 4640, 4889, 4890, 5017, 5018, 5487, 5488, 5635, 5636, 5993, 5994]
153;17;28;90;[3799, 3800, 3919, 3920, 4143, 4144, 4641, 4642, 4891, 4892, 5019, 5020, 5489, 5490, 5637, 5638, 6015, 6016]
154;17;25;100;[3801, 3802, 3921, 3922, 4145, 4146, 4643, 4644, 4893, 4894, 5021, 5022, 5491, 5492, 5639, 5640, 6037, 6038]
155;17;35;70;[3803, 3804, 3923, 3924, 4147, 4148, 4645, 4646, 4895, 4896, 5023, 5024, 5493, 5494, 5641, 5642, 6055, 6056]
156;17;33;100;[3805, 3806, 3925, 3926, 4149, 4150, 4647, 4648, 4897, 4898, 5025, 5026, 5495, 5496, 5643, 5644, 6081, 6082]
157;17;30;90;[3807, 3808, 3927, 3928, 4151, 4152, 4649, 4650, 4899, 4900, 5027, 5028, 5497, 5498, 5645, 5646, 6105, 6106]
158;17;31;70;[3809, 3810, 3929, 3930, 4153, 4154, 4651, 4652, 4901, 4902, 5029, 5030, 5499, 5500, 5647, 5648, 6125, 6126]
159;17;32;100;[3811, 3812, 3931, 3932, 4155, 4156, 4653, 4654, 4903, 4904, 5031, 5032, 5501, 5502, 5649, 5650, 6145, 6146]
160;17;34;60;[3813, 3814, 3933, 3934, 4157, 4158, 4655, 4656, 4905, 4906, 5033, 5034, 5503, 5504, 5651, 5652, 6165, 6166]
161;18;27;100;[4335, 4336, 4439, 4440, 4611, 4612, 4989, 4990, 5203, 5204, 5395, 5396, 5587, 5588, 5803, 5804, 6187, 6188]
162;18;24;70;[4337, 4338, 4441, 4442, 4613, 4614, 4991, 4992, 5205, 5206, 5397, 5398, 5589, 5590, 5805, 5806, 6209, 6210]
163;18;28;50;[4339, 4340, 4443, 4444, 4615, 4616, 4993, 4994, 5207, 5208, 5399, 5400, 5591, 5592, 5807, 5808, 6227, 6228]
164;18;29;80;[4341, 4342, 4445, 4446, 4617, 4618, 4995, 4996, 5209, 5210, 5401, 5402, 5593, 5594, 5809, 5810, 6249, 6250]
165;18;25;70;[4343, 4344, 4447, 4448, 4619, 4620, 4997, 4998, 5211, 5212, 5403, 5404, 5595, 5596, 5811, 5812, 6269, 6270]
166;18;26;100;[4345, 4346, 4449, 4450, 4621, 4622, 4999, 5000, 5213, 5214, 5405, 5406, 5597, 5598, 5813, 5814, 6287, 6288]
167;18;30;60;[4347, 4348, 4451, 4452, 4623, 4624, 5001, 5002, 5215, 5216, 5407, 5408, 5599, 5600, 5815, 5816, 6309, 6310]
168;18;32;50;[4349, 4350, 4453, 4454, 4625, 4626, 5003, 5004, 5217, 5218, 5409, 5410, 5601, 5602, 5817, 5818, 6329, 6330]
169;18;31;90;[4351, 4352, 4455, 4456, 4627, 4628, 5005, 5006, 5219, 5220, 5411, 5412, 5603, 5604, 5819, 5820, 6349, 6350]
170;18;35;50;[4353, 4354, 4457, 4458, 4629, 4630, 5007, 5008, 5221, 5222, 5413, 5414, 5605, 5606, 5821, 5822, 6369, 6370]
171;18;33;80;[4355, 4356, 4459, 4460, 4631, 4632, 5009, 5010, 5223, 5224, 5415, 5416, 5607, 5608, 5823, 5824, 6395, 6396]
172;18;34;100;[4357, 4358, 4461, 4462, 4633, 4634, 5011, 5012, 5225, 5226, 5417, 5418, 5609, 5610, 5825, 5826, 6419, 6420]
173;19;24;70;[4001, 4002, 4465, 4466, 4825, 4826, 5229, 5230, 5655, 5656, 5761, 5762, 6441, 6442]
174;19;29;50;[4003, 4004, 4467, 4468, 4827, 4828, 5231, 5232, 5657, 5658, 5763, 5764, 6459, 6460]
175;19;28;60;[4005, 4006, 4469, 4470, 4829, 4830, 5233, 5234, 5659, 5660, 5765, 5766, 6479, 6480]
