id;depart;arrivee;demand_business;demand_family;list_itineraires
1;1;5;6;50;[1, 190, 191]
2;1;6;10;50;[2, 160, 161]
3;1;7;8;40;[3, 202, 203]
4;1;8;2;45;[4]
5;1;9;8;55;[5, 176, 177]
6;2;5;4;50;[6, 302, 303]
7;2;6;6;60;[7, 258, 259]
8;2;7;4;55;[8]
9;2;8;2;35;[9, 274, 275]
10;2;9;4;55;[10, 288, 289]
11;3;5;4;35;[11, 384, 385]
12;3;6;6;30;[12, 340, 341]
13;3;7;4;40;[13]
14;3;8;10;45;[14, 356, 357]
15;3;9;2;45;[15, 370, 371]
16;4;5;2;40;[16, 438, 439]
17;4;6;4;45;[17, 464, 465]
18;4;7;2;60;[18, 450, 451]
19;4;8;6;50;[19]
20;4;9;10;55;[20, 424, 425]
21;5;10;2;40;[21, 520, 521]
22;5;11;2;35;[22]
23;5;12;4;50;[23, 506, 507]
24;5;13;2;60;[24, 534, 535]
25;6;10;8;35;[25, 554, 555]
26;6;11;10;40;[26, 598, 599]
27;6;12;2;45;[27, 584, 585]
28;6;13;4;50;[28, 568, 569]
29;7;10;4;50;[29, 628, 629]
30;7;11;6;30;[30, 616, 617]
31;7;12;8;45;[31]
32;7;13;10;60;[32, 642, 643]
33;8;10;6;40;[33, 690, 691]
34;8;11;10;50;[34, 664, 665]
35;8;12;4;40;[35, 676, 677]
36;8;13;10;50;[36]
37;9;10;4;55;[37, 710, 711]
38;9;11;2;50;[38, 740, 741]
39;9;12;4;40;[39, 752, 753]
40;9;13;8;50;[40, 724, 725]
41;10;14;8;40;[41, 774, 775]
42;10;15;6;50;[42, 770, 771]
43;10;16;6;60;[43, 776, 777]
44;10;17;10;45;[44, 772, 773]
45;11;14;6;35;[45]
46;11;15;6;55;[46, 784, 785]
47;11;16;4;45;[47, 782, 783]
48;11;17;6;30;[48, 786, 787]
49;12;14;4;35;[49, 792, 793]
50;12;15;4;30;[50, 796, 797]
51;12;16;2;30;[51]
52;12;17;6;50;[52, 794, 795]
53;13;14;4;40;[53, 808, 809]
54;13;15;8;45;[54, 804, 805]
55;13;16;2;50;[55, 806, 807]
56;13;17;4;40;[56, 810, 811]
57;14;18;4;35;[57]
58;14;19;4;35;[58]
59;14;20;4;55;[59]
60;15;18;8;60;[60]
61;15;19;10;45;[61]
62;15;20;2;50;[62]
63;16;18;4;30;[63]
64;16;19;8;40;[64]
