id;depart;arrivee;OnD;list_airports;alpha;list_flights
1;1;5;1;[];0.3536877524849782;[]
2;1;6;2;[];0.09983135601267312;[]
3;1;7;3;[];0.24983216726840363;[]
4;1;8;4;[];0.01848016777393613;[]
5;1;9;5;[];0.8681753803014682;[]
6;2;5;6;[];0.8252234026731811;[]
7;2;6;7;[];0.2791308111095796;[]
8;2;7;8;[];0.6148056143942322;[]
9;2;8;9;[];0.1635877935149419;[]
10;2;9;10;[];0.7086570921976554;[]
11;3;5;11;[];0.9161598838141976;[]
12;3;6;12;[];0.24655764743194153;[]
13;3;7;13;[];0.9512389861395625;[]
14;3;8;14;[];0.5113839585957918;[]
15;3;9;15;[];0.9956384676985564;[]
16;4;5;16;[];0.6523872289106516;[]
17;4;6;17;[];0.5526166998759094;[]
18;4;7;18;[];0.29823735754796754;[]
19;4;8;19;[];0.9321397613778377;[]
20;4;9;20;[];0.31068615362497964;[]
21;5;10;21;[];0.37461552583326463;[]
22;5;11;22;[];0.613905457767516;[]
23;5;12;23;[];0.5895719663177319;[]
24;5;13;24;[];0.8131603635038211;[]
25;6;10;25;[];0.1531654513944407;[]
26;6;11;26;[];0.8190426009363778;[]
27;6;12;27;[];0.12339915472303598;[]
28;6;13;28;[];0.7677244448796996;[]
29;7;10;29;[];0.07145925656546881;[]
30;7;11;30;[];0.07535045140197028;[]
31;7;12;31;[];0.5048528647596553;[]
32;7;13;32;[];0.7094969855419322;[]
33;8;10;33;[];0.8495384079360118;[]
34;8;11;34;[];0.5700126590763215;[]
35;8;12;35;[];0.3266363766377163;[]
36;8;13;36;[];0.42167562534704706;[]
37;9;10;37;[];0.8603997481628438;[]
38;9;11;38;[];0.7943742814082329;[]
39;9;12;39;[];0.8312262570628717;[]
40;9;13;40;[];0.22305085065697794;[]
41;10;14;41;[];0.5206652816197921;[]
42;10;15;42;[];0.9347193411278949;[]
43;10;16;43;[];0.6555443505819494;[]
44;10;17;44;[];0.10227782647541606;[]
45;11;14;45;[];0.8496652022326054;[]
46;11;15;46;[];0.3834950195247455;[]
47;11;16;47;[];0.19768341299184167;[]
48;11;17;48;[];0.5020408684840472;[]
49;12;14;49;[];0.6251759733550513;[]
50;12;15;50;[];0.08007774441217674;[]
51;12;16;51;[];0.10420584438304314;[]
52;12;17;52;[];0.17525904562689387;[]
53;13;14;53;[];0.12847721745356822;[]
54;13;15;54;[];0.48164062336236335;[]
55;13;16;55;[];0.8487019840683443;[]
56;13;17;56;[];0.05513763667763616;[]
57;14;18;57;[];0.9648552239417716;[]
58;14;19;58;[];0.8306566909246418;[]
59;14;20;59;[];0.9966006272497236;[]
60;15;18;60;[];0.6937158511731647;[]
61;15;19;61;[];0.3418070185156541;[]
62;15;20;62;[];0.4044224583102769;[]
63;16;18;63;[];0.46430226102015815;[]
64;16;19;64;[];0.041500267106274746;[]
65;16;20;65;[];0.9353439220542754;[]
66;17;18;66;[];0.6326190954849333;[]
67;17;19;67;[];0.7899612033933021;[]
68;17;20;68;[];0.8550025514049548;[]
69;1;10;69;[];0.8828282464483252;[]
70;1;11;70;[];0.49857733772281065;[]
71;1;12;71;[];0.9158156695272246;[]
72;1;13;72;[];0.2185911195033181;[]
73;2;10;73;[];0.20710976834612005;[]
74;2;11;74;[];0.3701279134486477;[]
75;2;12;75;[];0.8143600300761729;[]
76;2;13;76;[];0.2787013283130644;[]
77;3;10;77;[];0.6556072899177945;[]
78;3;11;78;[];0.03318789955278256;[]
79;3;12;79;[];0.018925844341257436;[]
80;3;13;80;[];0.022007142556024428;[]
81;4;10;81;[];0.12678571085249857;[]
82;4;11;82;[];0.31574961257460976;[]
83;4;12;83;[];0.43361152173892314;[]
84;4;13;84;[];0.513149684738315;[]
85;5;14;85;[];0.8701803922551559;[]
86;5;15;86;[];0.6457396409351064;[]
87;5;16;87;[];0.8272030720779517;[]
88;5;17;88;[];0.16905877173274364;[]
89;6;14;89;[];0.026679689850477084;[]
90;6;15;90;[];0.7130554591624252;[]
91;6;16;91;[];0.3113605676534239;[]
92;6;17;92;[];0.26272073940162644;[]
93;7;14;93;[];0.06144927036759262;[]
94;7;15;94;[];0.9949982281332803;[]
95;7;16;95;[];0.513406764052666;[]
96;7;17;96;[];0.14868394950993435;[]
97;8;14;97;[];0.5206135303750621;[]
98;8;15;98;[];0.7386059557151299;[]
99;8;16;99;[];0.7109991767976311;[]
100;8;17;100;[];0.714466780271027;[]
101;9;14;101;[];0.4115668154865302;[]
102;9;15;102;[];0.4726164161474602;[]
103;9;16;103;[];0.46380422094180296;[]
104;9;17;104;[];0.8232701707758052;[]
105;10;18;105;[];0.557988855520311;[]
106;10;19;106;[];0.890800864976024;[]
107;10;20;107;[];0.1870835644045452;[]
108;11;18;108;[];0.7623282003200689;[]
109;11;19;109;[];0.14549031989843675;[]
110;11;20;110;[];0.4783917159039983;[]
111;12;18;111;[];0.8761987320229865;[]
112;12;19;112;[];0.3315642783372117;[]
113;12;20;113;[];0.03671187137498766;[]
114;13;18;114;[];0.7528133662509648;[]
115;13;19;115;[];0.5361198840762824;[]
116;13;20;116;[];0.5986635500986535;[]
117;1;14;117;[];0.5782101972218465;[]
118;1;15;118;[];0.15224302258159872;[]
119;1;16;119;[];0.7756195178512562;[]
120;1;17;120;[];0.12873316186547124;[]
121;2;14;121;[];0.7115179307145201;[]
122;2;15;122;[];0.5592804446774164;[]
123;2;16;123;[];0.5661014900949783;[]
124;2;17;124;[];0.9938108084787467;[]
125;3;14;125;[];0.44011719144722194;[]
126;3;15;126;[];0.9072566732637242;[]
127;3;16;127;[];0.29254150390468436;[]
128;3;17;128;[];0.19738590018889068;[]
129;4;14;129;[];0.5634685125491594;[]
130;4;15;130;[];0.09867332369689508;[]
131;4;16;131;[];0.014521412237078701;[]
132;4;17;132;[];0.07215941873487708;[]
133;5;18;133;[];0.011805693810220008;[]
134;5;19;134;[];0.37351334511888545;[]
135;5;20;135;[];0.9185659126263939;[]
136;6;18;136;[];0.9832706590764104;[]
137;6;19;137;[];0.6182037532763061;[]
138;6;20;138;[];0.3101834946267785;[]
139;7;18;139;[];0.6162563241360264;[]
140;7;19;140;[];0.01678465152641606;[]
141;7;20;141;[];0.8476661796588427;[]
142;8;18;142;[];0.46284174575760306;[]
143;8;19;143;[];0.8791713605411855;[]
144;8;20;144;[];0.8889526457424513;[]
145;9;18;145;[];0.16371221607483366;[]
146;9;19;146;[];0.626432395918209;[]
147;9;20;147;[];0.5817629227875529;[]
148;1;18;148;[];0.4638283066319995;[]
149;1;19;149;[];0.8308967199351929;[]
150;1;20;150;[];0.3235412849581356;[]
151;2;18;151;[];0.8685273798436717;[]
152;2;19;152;[];0.8111170052368253;[]
153;2;20;153;[];0.05070372913307608;[]
154;3;18;154;[];0.021987203592849447;[]
155;3;19;155;[];0.3259939614062781;[]
156;3;20;156;[];0.8613571063168943;[]
157;4;18;157;[];0.3715327753831412;[]
158;4;19;158;[];0.9081790103187815;[]
159;4;20;159;[];0.957952741911738;[]
160;1;6;2;[1, 6];0.331345390531782;[1, 6]
161;1;6;2;[1, 6];1.4415975575322315;[1, 6]
162;1;10;69;[1, 6, 10];0.839635161920216;[1, 6, 10]
163;1;10;69;[1, 6, 10];1.281420308861586;[1, 6, 10]
164;1;13;72;[1, 6, 13];0.4157212244449038;[1, 6, 13]
165;1;13;72;[1, 6, 13];1.416020422042695;[1, 6, 13]
166;1;12;71;[1, 6, 12];0.20919349242013463;[1, 6, 12]
167;1;12;71;[1, 6, 12];1.6759598339666362;[1, 6, 12]
168;1;11;70;[1, 6, 11];0.8202621713954843;[1, 6, 11]
169;1;11;70;[1, 6, 11];1.05052160337035;[1, 6, 11]
170;1;17;120;[1, 6, 17];0.7366575244843274;[1, 6, 17]
171;1;17;120;[1, 6, 17];1.3847219249934586;[1, 6, 17]
172;1;15;118;[1, 6, 15];0.6451617812337094;[1, 6, 15]
173;1;15;118;[1, 6, 15];1.2721302451707899;[1, 6, 15]
174;1;14;117;[1, 6, 14];0.9089121359533352;[1, 6, 14]
175;1;14;117;[1, 6, 14];1.6984356508919745;[1, 6, 14]
176;1;9;5;[1, 9];0.6974128932131225;[1, 9]
177;1;9;5;[1, 9];1.9566136987486047;[1, 9]
178;1;10;69;[1, 9, 10];0.19905351899173174;[1, 9, 10]
179;1;10;69;[1, 9, 10];1.4023696717765777;[1, 9, 10]
180;1;13;72;[1, 9, 13];0.17347399241983164;[1, 9, 13]
181;1;13;72;[1, 9, 13];1.9446199259686008;[1, 9, 13]
182;1;11;70;[1, 9, 11];0.13822676577379567;[1, 9, 11]
183;1;11;70;[1, 9, 11];1.8429482395254624;[1, 9, 11]
184;1;12;71;[1, 9, 12];0.8267209009406276;[1, 9, 12]
185;1;12;71;[1, 9, 12];1.8616637707103214;[1, 9, 12]
186;1;15;118;[1, 9, 15];0.8617810354573514;[1, 9, 15]
187;1;15;118;[1, 9, 15];1.7119817031173414;[1, 9, 15]
188;1;14;117;[1, 9, 14];0.7604000211407147;[1, 9, 14]
189;1;14;117;[1, 9, 14];1.2944189499610115;[1, 9, 14]
190;1;5;1;[1, 5];0.3867628919607349;[1, 5]
191;1;5;1;[1, 5];1.7127312425102357;[1, 5]
192;1;12;71;[1, 5, 12];0.47211669052410365;[1, 5, 12]
193;1;12;71;[1, 5, 12];1.6520638268756123;[1, 5, 12]
194;1;10;69;[1, 5, 10];0.12712406807931176;[1, 5, 10]
195;1;10;69;[1, 5, 10];1.259704357635;[1, 5, 10]
196;1;13;72;[1, 5, 13];0.06840839471106497;[1, 5, 13]
197;1;13;72;[1, 5, 13];1.5264336205039346;[1, 5, 13]
198;1;14;117;[1, 5, 14];0.8260954838710648;[1, 5, 14]
199;1;14;117;[1, 5, 14];1.6989672740298964;[1, 5, 14]
200;1;16;119;[1, 5, 16];0.03961766596271321;[1, 5, 16]
201;1;16;119;[1, 5, 16];1.1725492006289735;[1, 5, 16]
202;1;7;3;[1, 7];0.6109634471526431;[1, 7]
