id;depart;arrivee;capacite du vol;list_itineraires
1;1;11;100;[1864, 1865]
2;1;10;50;[1886, 1887]
3;1;9;60;[1904, 1905]
4;1;12;80;[1922, 1923]
5;1;13;80;[1940, 1941]
6;1;16;50;[1960, 1961]
7;1;15;50;[1982, 1983]
8;1;17;90;[2006, 2007]
9;2;12;90;[2024, 2025]
10;2;10;70;[2042, 2043]
11;2;8;70;[2060, 2061]
12;2;11;100;[2080, 2081]
13;2;9;80;[2102, 2103]
14;2;16;80;[2120, 2121]
15;2;14;60;[2142, 2143]
16;2;15;90;[2166, 2167]
17;3;12;60;[2190, 2191]
18;3;10;100;[2208, 2209]
19;3;9;100;[2226, 2227]
20;3;11;50;[2244, 2245]
21;3;15;50;[2266, 2267]
22;3;17;80;[2290, 2291]
23;3;16;100;[2308, 2309]
24;4;13;90;[2330, 2331]
25;4;9;100;[2350, 2351]
26;4;10;80;[2368, 2369]
27;4;11;60;[2386, 2387]
28;4;14;70;[2408, 2409]
29;4;17;60;[2432, 2433]
30;4;16;80;[2450, 2451]
31;4;15;100;[2472, 2473]
32;5;12;90;[2496, 2497]
33;5;8;60;[2514, 2515]
34;5;13;90;[2534, 2535]
35;5;9;60;[2554, 2555]
36;5;17;90;[2572, 2573]
37;5;16;100;[2590, 2591]
38;5;15;100;[2612, 2613]
39;5;14;80;[2636, 2637]
40;6;11;90;[2660, 2661]
41;6;9;90;[2682, 2683]
42;6;10;50;[2700, 2701]
43;6;8;100;[2718, 2719]
44;6;15;100;[2738, 2739]
45;6;17;100;[2762, 2763]
46;6;14;100;[2780, 2781]
47;6;16;50;[2804, 2805]
48;7;9;90;[2826, 2827]
49;7;8;100;[2844, 2845]
50;7;10;90;[2864, 2865]
51;7;12;60;[2882, 2883]
52;7;13;50;[2900, 2901]
53;7;11;80;[2920, 2921]
54;7;14;50;[2942, 2943]
55;7;15;60;[2966, 2967]
56;7;16;50;[2990, 2991]
57;7;17;70;[3012, 3013]
58;8;14;80;[2062, 2063, 2516, 2517, 2720, 2721, 2846, 2847, 3030, 3031]
59;8;16;70;[2064, 2065, 2518, 2519, 2722, 2723, 2848, 2849, 3054, 3055]
60;8;15;80;[2066, 2067, 2520, 2521, 2724, 2725, 2850, 2851, 3076, 3077]
61;8;17;100;[2068, 2069, 2522, 2523, 2726, 2727, 2852, 2853, 3100, 3101]
62;8;22;60;[2070, 2071, 2524, 2525, 2728, 2729, 2854, 2855, 3118, 3119]
63;8;19;70;[2072, 2073, 2526, 2527, 2730, 2731, 2856, 2857, 3134, 3135]
64;8;20;80;[2074, 2075, 2528, 2529, 2732, 2733, 2858, 2859, 3154, 3155]
65;8;18;90;[2076, 2077, 2530, 2531, 2734, 2735, 2860, 2861, 3170, 3171]
66;8;23;80;[2078, 2079, 2532, 2533, 2736, 2737, 2862, 2863, 3190, 3191]
67;9;17;50;[1906, 1907, 2104, 2105, 2228, 2229, 2352, 2353, 2556, 2557, 2684, 2685, 2828, 2829, 3210, 3211]
68;9;14;100;[1908, 1909, 2106, 2107, 2230, 2231, 2354, 2355, 2558, 2559, 2686, 2687, 2830, 2831, 3228, 3229]
69;9;15;60;[1910, 1911, 2108, 2109, 2232, 2233, 2356, 2357, 2560, 2561, 2688, 2689, 2832, 2833, 3252, 3253]
70;9;16;90;[1912, 1913, 2110, 2111, 2234, 2235, 2358, 2359, 2562, 2563, 2690, 2691, 2834, 2835, 3276, 3277]
71;9;20;90;[1914, 1915, 2112, 2113, 2236, 2237, 2360, 2361, 2564, 2565, 2692, 2693, 2836, 2837, 3298, 3299]
72;9;22;70;[1916, 1917, 2114, 2115, 2238, 2239, 2362, 2363, 2566, 2567, 2694, 2695, 2838, 2839, 3314, 3315]
73;9;23;80;[1918, 1919, 2116, 2117, 2240, 2241, 2364, 2365, 2568, 2569, 2696, 2697, 2840, 2841, 3330, 3331]
