id;depart;arrivee;capacite du vol;list_itineraires
1;1;6;80;[2656, 2657]
2;1;5;50;[2674, 2675]
3;1;8;100;[2694, 2695]
4;1;7;50;[2712, 2713]
5;1;12;60;[2730, 2731]
6;1;10;80;[2752, 2753]
7;1;11;100;[2774, 2775]
8;1;9;50;[2792, 2793]
9;2;6;60;[2812, 2813]
10;2;8;80;[2830, 2831]
11;2;7;100;[2848, 2849]
12;2;5;100;[2866, 2867]
13;2;13;60;[2886, 2887]
14;2;11;100;[2904, 2905]
15;2;12;90;[2922, 2923]
16;2;9;100;[2944, 2945]
17;2;10;100;[2964, 2965]
18;3;7;90;[2986, 2987]
19;3;5;70;[3004, 3005]
20;3;6;80;[3024, 3025]
21;3;8;70;[3042, 3043]
22;3;13;50;[3060, 3061]
23;3;11;50;[3078, 3079]
24;3;12;80;[3096, 3097]
25;3;9;90;[3118, 3119]
26;4;8;80;[3138, 3139]
27;4;5;60;[3156, 3157]
28;4;6;100;[3176, 3177]
29;4;7;60;[3194, 3195]
30;4;10;100;[3212, 3213]
31;4;11;80;[3234, 3235]
32;4;12;90;[3252, 3253]
33;4;13;90;[3274, 3275]
34;4;9;70;[3292, 3293]
35;5;10;100;[2676, 2677, 2868, 2869, 3006, 3007, 3158, 3159, 3312, 3313]
36;5;9;70;[2678, 2679, 2870, 2871, 3008, 3009, 3160, 3161, 3334, 3335]
37;5;12;80;[2680, 2681, 2872, 2873, 3010, 3011, 3162, 3163, 3354, 3355]
38;5;13;50;[2682, 2683, 2874, 2875, 3012, 3013, 3164, 3165, 3376, 3377]
39;5;19;60;[2684, 2685, 2876, 2877, 3014, 3015, 3166, 3167, 3394, 3395]
40;5;21;50;[2686, 2687, 2878, 2879, 3016, 3017, 3168, 3169, 3412, 3413]
41;5;17;80;[2688, 2689, 2880, 2881, 3018, 3019, 3170, 3171, 3432, 3433]
42;5;15;100;[2690, 2691, 2882, 2883, 3020, 3021, 3172, 3173, 3454, 3455]
43;5;16;60;[2692, 2693, 2884, 2885, 3022, 3023, 3174, 3175, 3474, 3475]
44;6;12;100;[2658, 2659, 2814, 2815, 3026, 3027, 3178, 3179, 3494, 3495]
45;6;13;60;[2660, 2661, 2816, 2817, 3028, 3029, 3180, 3181, 3516, 3517]
46;6;10;100;[2662, 2663, 2818, 2819, 3030, 3031, 3182, 3183, 3534, 3535]
47;6;11;50;[2664, 2665, 2820, 2821, 3032, 3033, 3184, 3185, 3556, 3557]
48;6;9;60;[2666, 2667, 2822, 2823, 3034, 3035, 3186, 3187, 3574, 3575]
49;6;18;50;[2668, 2669, 2824, 2825, 3036, 3037, 3188, 3189, 3594, 3595]
50;6;19;80;[2670, 2671, 2826, 2827, 3038, 3039, 3190, 3191, 3616, 3617]
