id;depart;arrivee;demand_business;demand_family;list_itineraires
1;1;7;2;35;[1, 2168, 2169]
2;1;8;8;45;[2, 2128, 2129]
3;1;9;10;40;[3, 2108, 2109]
4;1;10;6;50;[4, 2150, 2151]
5;2;7;2;60;[5, 2308, 2309]
6;2;8;8;45;[6, 2286, 2287]
7;2;9;10;45;[7, 2266, 2267]
8;2;10;10;40;[8, 2248, 2249]
9;3;7;8;40;[9, 2458, 2459]
10;3;8;2;35;[10, 2478, 2479]
11;3;9;4;40;[11, 2420, 2421]
12;3;10;2;60;[12, 2440, 2441]
13;4;7;8;35;[13, 2558, 2559]
14;4;8;6;55;[14, 2578, 2579]
15;4;9;2;50;[15, 2600, 2601]
16;4;10;8;45;[16, 2620, 2621]
17;5;7;10;60;[17, 2790, 2791]
18;5;8;10;50;[18, 2768, 2769]
19;5;9;10;50;[19, 2748, 2749]
20;5;10;10;40;[20, 2730, 2731]
21;6;7;10;40;[21, 2966, 2967]
22;6;8;2;45;[22, 2924, 2925]
23;6;9;6;50;[23, 2946, 2947]
24;6;10;2;50;[24, 2906, 2907]
25;7;11;10;35;[25]
26;7;12;2;45;[26, 3120, 3121]
27;7;13;6;55;[27]
28;7;14;10;55;[28, 3100, 3101]
29;7;15;8;40;[29, 3082, 3083]
30;7;16;8;30;[30, 3064, 3065]
31;7;17;8;30;[31, 3142, 3143]
32;8;11;10;40;[32]
33;8;12;8;40;[33, 3322, 3323]
34;8;13;6;55;[34, 3248, 3249]
35;8;14;4;40;[35, 3228, 3229]
36;8;15;8;55;[36, 3266, 3267]
37;8;16;6;60;[37, 3304, 3305]
38;8;17;10;35;[38, 3284, 3285]
39;9;11;8;30;[39, 3470, 3471]
40;9;12;4;55;[40, 3410, 3411]
41;9;13;10;60;[41, 3452, 3453]
42;9;14;8;50;[42]
43;9;15;4;30;[43]
44;9;16;2;40;[44]
45;9;17;6;60;[45, 3432, 3433]
46;10;11;8;55;[46, 3610, 3611]
47;10;12;8;60;[47, 3588, 3589]
48;10;13;2;40;[48, 3644, 3645]
49;10;14;8;40;[49]
50;10;15;8;45;[50, 3626, 3627]
51;10;16;6;55;[51, 3570, 3571]
52;10;17;8;35;[52]
53;11;18;4;50;[53]
54;11;19;10;55;[54, 3742, 3743]
55;11;20;10;60;[55, 3760, 3761]
56;11;21;10;35;[56, 3726, 3727]
57;11;22;2;40;[57, 3710, 3711]
58;11;23;4;60;[58]
59;12;18;2;45;[59, 3828, 3829]
60;12;19;8;45;[60, 3892, 3893]
61;12;20;8;50;[61, 3876, 3877]
62;12;21;4;40;[62, 3844, 3845]
